Step,iTypeC,fCtr_A,fCtr_B,fCtr_C,fCtr_D,fCtr_E,fCtr_H_On,fCtr_S_On,fCtr_L_On,fCtr_H_Off,fCtr_S_Off,fCtr_L_Off,iTypeS,fStrb_A,fStrb_B,fStrb_C,fStrb_D,fStrb_E,lPattern,fStrb_H_On,fStrb_S_On,fStrb_L_On,fStrb_H_Off,fStrb_S_Off,fStrb_L_Off,lSeqTime,Total time,Tot Sec,Hours,Minutes,Seconds,On,Off,On,Off,f_diff
1,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,240000.00,0:32:50,1970,0,32,50,0.15,0.02,0.15,0,0.2
2,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,14.10,14.10,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,240000.00,,,,,,,,,,
3,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,20.30,20.30,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,120000.00,,,,,,,,,,
4,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
5,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
6,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
7,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
8,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
9,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
10,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
11,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
12,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
13,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
14,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
15,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
16,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
17,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
18,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
19,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
20,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
21,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
22,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
23,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
24,4.00,7.83,7.83,0.05,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,2.00,7.84,7.84,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
