Step,iTypeC,fCtr_A,fCtr_B,fCtr_C,fCtr_D,fCtr_E,fCtr_H_On,fCtr_S_On,fCtr_L_On,fCtr_H_Off,fCtr_S_Off,fCtr_L_Off,iTypeS,fStrb_A,fStrb_B,fStrb_C,fStrb_D,fStrb_E,lPattern,fStrb_H_On,fStrb_S_On,fStrb_L_On,fStrb_H_Off,fStrb_S_Off,fStrb_L_Off,lSeqTime,Total time,Tot Sec,Hours,Minutes,Seconds,On,Off,On,Off,f_diff
1,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.40,8.40,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,0:23:20,1400,0,23,20,0.15,0.02,0.15,0,0.2
2,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.60,8.60,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
3,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.80,8.80,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
4,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.00,9.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
5,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.20,9.20,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
6,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.00,9.00,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
7,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.80,8.80,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
8,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.60,8.60,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
9,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.40,8.40,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
10,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,8.20,8.20,0.20,0.10,0.00,0.00,0.10,0.15,0.90,0.10,0.15,0.00,10000.00,,,,,,,,,,
