"Step","iTypeC","fCtr_A","fCtr_B","fCtr_C","fCtr_D","fCtr_E","fCtr_H_On","fCtr_S_On","fCtr_L_On","fCtr_H_Off","fCtr_S_Off","fCtr_L_Off","iTypeS","fStrb_A","fStrb_B","fStrb_C","fStrb_D","fStrb_E","lPattern","fStrb_H_On","fStrb_S_On","fStrb_L_On","fStrb_H_Off","fStrb_S_Off","fStrb_L_Off","lSeqTime","Total time","Tot Sec","Hours","Minutes","Seconds"
11,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,4.40,4.40,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,
12,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,3.00,5.50,5.50,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,
13,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
14,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
15,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
16,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
17,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
18,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
19,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
20,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
21,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
