"Step","iTypeC","fCtr_A","fCtr_B","fCtr_C","fCtr_D","fCtr_E","fCtr_H_On","fCtr_S_On","fCtr_L_On","fCtr_H_Off","fCtr_S_Off","fCtr_L_Off","iTypeS","fStrb_A","fStrb_B","fStrb_C","fStrb_D","fStrb_E","lPattern","fStrb_H_On","fStrb_S_On","fStrb_L_On","fStrb_H_Off","fStrb_S_Off","fStrb_L_Off","lSeqTime","Total time","Tot Sec","Hours","Minutes","Seconds","On","Off","On","Off","f_diff"
1,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,17.20,17.20,0.10,0.10,0.00,0.00,0.10,0.15,0.00,0.10,0.15,0.00,2000.00,"0:13:22",802,0,13,22,0.15,0.02,0.15,0,0.2
2,2.00,11.50,11.50,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,11.70,11.70,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
3,2.00,11.55,11.55,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,11.75,11.75,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
4,2.00,11.60,11.60,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,11.80,11.80,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
5,2.00,11.65,11.65,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,11.85,11.85,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
6,2.00,11.70,11.70,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,11.90,11.90,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
7,2.00,11.75,11.75,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,11.95,11.95,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
8,2.00,11.80,11.80,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.00,12.00,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
9,2.00,11.85,11.85,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.05,12.05,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
10,2.00,11.90,11.90,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.10,12.10,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
11,2.00,11.95,11.95,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.15,12.15,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
12,2.00,12.00,12.00,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.20,12.20,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
13,2.00,12.05,12.05,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.25,12.25,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
14,2.00,12.10,12.10,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.30,12.30,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
15,2.00,12.15,12.15,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.35,12.35,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
16,2.00,12.20,12.20,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.40,12.40,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
17,2.00,12.25,12.25,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.45,12.45,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
18,2.00,12.30,12.30,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.50,12.50,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
19,2.00,12.35,12.35,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.55,12.55,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
20,2.00,12.40,12.40,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.60,12.60,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
21,2.00,12.45,12.45,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.65,12.65,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
22,2.00,12.50,12.50,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.70,12.70,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
23,2.00,12.55,12.55,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.75,12.75,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
24,2.00,12.60,12.60,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.80,12.80,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
25,2.00,12.65,12.65,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.85,12.85,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,5.8823529412,1.9411764706,3.9411764706,3941.1764705882,,,,
26,2.00,12.70,12.70,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.90,12.90,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
27,2.00,12.75,12.75,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,12.95,12.95,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
28,2.00,12.80,12.80,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.00,13.00,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
29,2.00,12.85,12.85,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.05,13.05,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
30,2.00,12.90,12.90,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.10,13.10,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
31,2.00,12.95,12.95,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.15,13.15,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
32,2.00,13.00,13.00,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.20,13.20,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
33,2.00,13.05,13.05,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.25,13.25,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
34,2.00,13.10,13.10,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.30,13.30,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
35,2.00,13.15,13.15,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.35,13.35,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
36,2.00,13.20,13.20,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.40,13.40,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
37,2.00,13.25,13.25,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.45,13.45,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
38,2.00,13.30,13.30,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.50,13.50,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
39,2.00,13.35,13.35,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.55,13.55,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
40,2.00,13.40,13.40,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.60,13.60,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
41,2.00,13.45,13.45,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.65,13.65,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
42,2.00,13.50,13.50,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.70,13.70,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
43,2.00,13.55,13.55,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.75,13.75,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
44,2.00,13.60,13.60,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.80,13.80,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
45,2.00,13.65,13.65,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.85,13.85,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
46,2.00,13.70,13.70,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.90,13.90,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
47,2.00,13.75,13.75,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,13.95,13.95,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
48,2.00,13.80,13.80,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.00,14.00,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
49,2.00,13.85,13.85,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.05,14.05,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
50,2.00,13.90,13.90,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.10,14.10,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
51,2.00,13.95,13.95,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.15,14.15,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
52,2.00,14.00,14.00,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.20,14.20,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
53,2.00,14.05,14.05,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.25,14.25,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
54,2.00,14.10,14.10,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.30,14.30,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
55,2.00,14.15,14.15,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.35,14.35,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
56,2.00,14.20,14.20,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.40,14.40,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
57,2.00,14.25,14.25,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.45,14.45,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
58,2.00,14.30,14.30,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.50,14.50,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
59,2.00,14.35,14.35,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.55,14.55,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
60,2.00,14.40,14.40,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.60,14.60,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
61,2.00,14.45,14.45,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.65,14.65,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
62,2.00,14.50,14.50,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.70,14.70,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
63,2.00,14.55,14.55,0.10,1.20,0.00,0.10,0.80,0.15,0.10,1.00,0.02,2.00,14.75,14.75,0.10,0.10,0.00,0.00,0.10,0.15,0.15,0.10,0.15,0.00,5000.00,,,,,,,,,,
